access_table,name,found,found_as,acc_easting,acc_northing,htp_easting,htp_northing,location_match,other_names
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),329032,True,site_name,2760500.0,6102300.0,2760500.0,6102300.0,True,"898,BARROW C P"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),348130,True,site_name,2754500.0,6083900.0,2754500.0,6083900.0,True,"900,SYMONDS M D"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),337057,True,site_name,2744500.0,6095900.0,2744500.0,6095900.0,True,"901,SHANON T"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),209005,True,site_name,2679500.0,6142100.0,2679466.0,6141931.0,False,"902,DOWNES"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),332029,True,substring of site_name,2701800.0,6098200.0,2701800.0,6098100.0,False,"252,LANDCORP  TANGIMOANA,332029 (Middle)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),332027,True,substring of site_name,2701800.0,6098100.0,2701800.0,6098100.0,True,"253,LANDCORP  TANGIMOANA,332027 (Southwest)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),332025,True,source_name,2701800.0,6098100.0,2701800.0,6098100.0,True,"258,Ruahine Timber & Roundwood"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),790069,True,source_name,2682700.0,6139300.0,2682700.0,6139300.0,True,"358,Rutherford Intermediate"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),312009,True,source_name,2705100.0,6117300.0,2705100.0,6117300.0,True,"359,Marton Golf Club"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),312020,True,source_name,2705200.0,6117200.0,2705200.0,6117100.0,False,"360,Marton Golf Club"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),332009,True,source_name,2709900.0,6090600.0,2703900.0,6090600.0,False,"361,Moffat"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),332004,True,source_name,2700900.0,6098200.0,2701000.0,6098200.0,False,"362,LC2 Tangimoana"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),332011,True,source_name,2700700.0,6090500.0,2699800.0,6090400.0,False,"363,Rush"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),337005,True,source_name,2743800.0,6095200.0,2743800.0,6095200.0,True,"364,O'Neil"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),362003,True,source_name,2696700.0,6057500.0,2696700.0,6057500.0,True,"365,Sturt"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),362005,True,source_name,2699200.0,6056800.0,2699200.0,6056800.0,True,"366,Brittian (ex Howie)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),352311,True,source_name,2699200.0,6056800.0,2697400.0,6069800.0,False,"367,Pescini, Colin"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),352312,True,source_name,2697400.0,6069800.0,2697400.0,6069800.0,True,"368,Pescini, Colin"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),352271,True,source_name,2700600.0,6067800.0,2700600.0,6067800.0,True,"369,Bartholomew"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),342051,True,source_name,2703300.0,6078400.0,2703300.0,6078400.0,True,"370,Foxton Horowhenua District Council"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),336022,True,source_name,2737300.0,6092500.0,2737300.0,6092500.0,True,"374,Joe Chung"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),336024,True,source_name,2736600.0,6092500.0,2736600.0,6092500.0,True,"375,Tait Jamison"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),336060,True,site_name,2738700.0,6094400.0,2738700.0,6094400.0,True,"376,WHAKA BERRY"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),336050,True,site_name,2738900.0,6093600.0,2738900.0,6093600.0,True,"377,BECK A"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),336017,True,site_name,2737300.0,6094000.0,2737300.0,6094000.0,True,"378,SING J W"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),348005,True,site_name,2748500.0,6079900.0,2748600.0,6079600.0,False,"412,TUI MILK PRODUCTS   MANGAMUTU"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),348002,True,site_name,2748500.0,6080500.0,2748500.0,6080500.0,True,"413,MANGAMUTU SCHOOL"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),312007,True,site_name,2700100.0,6115800.0,2700100.0,6115700.0,False,"414,SANTOFT SCHOOL"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),348092,True,site_name,2748700.0,6080300.0,2748200.0,6079600.0,False,"440,VAN BARNEVELD"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),348080,True,site_name,2749000.0,6080400.0,2749000.0,6080400.0,True,"441,GLEESONS   MANGAMUTU"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),348086,True,site_name,2748800.0,6080700.0,2748800.0,6080700.0,True,"442,SOLLY   MANGAMUTU"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),348084,True,site_name,2748800.0,6080100.0,2748800.0,6080100.0,True,"443,JOHNSTONE  MANGAMUTU"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),348097,True,site_name,2749500.0,6080600.0,2749400.0,6080900.0,False,"444,BUCKLEY    MANGAMUTU"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),348082,True,site_name,2749200.0,6080600.0,2749600.0,6080500.0,False,"445,MABEY  MANGAMUTU"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),348085,True,site_name,2748600.0,6080000.0,2748600.0,6080000.0,True,"446,CARTER   MANGAMUTU"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),348078,True,site_name,2748000.0,6079700.0,2747800.0,6079200.0,False,"447,O`BRIEN  MANGAMUTU"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),348021,True,site_name,2747000.0,6080800.0,2749000.0,6080800.0,False,"448,TUI MILK PRODUCTS   MANGAMUTU"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),348079,True,site_name,2749000.0,6080600.0,2749000.0,6080600.0,True,"449,CORKILL     MANGAMUTU"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),348076,True,site_name,2748700.0,6080200.0,2747600.0,6079200.0,False,"450,WOLLAND  MANGAMUTU"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),348095,True,site_name,2748800.0,6080400.0,2748800.0,6080400.0,True,"451,LEACH   MANGAMUTU"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),352023,True,site_name,2702600.0,6074000.0,2702600.0,6074000.0,True,"452,BEALING"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),352025,True,site_name,2701800.0,6073700.0,2701800.0,6073700.0,True,"453,BEALING, OTUNA RD."
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),322022,True,site_name,2700900.0,6098500.0,2700900.0,6098700.0,False,"457,OXLEY MRS H C  TANGIMOANA"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),314033,True,site_name,2716300.0,6117300.0,2716300.0,6117300.0,True,"458,HIGGIE MRS B E (MARTON)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372012,True,substring of site_name,2697400.0,6052500.0,2697400.0,6052400.0,False,"480,MANUKAU SCHOOL,Shallow 372012"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372010,True,substring of site_name,2697300.0,6052500.0,2697400.0,6052400.0,False,"481,MANUKAU SCHOOL,Deep 372010"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372016,True,site_name,2697800.0,6052700.0,2697700.0,6052800.0,False,"482,MILES DEEP"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372074,True,site_name,2697400.0,6052200.0,2697500.0,6052200.0,False,"483,HANNA B C"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372049,True,site_name,2697300.0,6052600.0,2697300.0,6052500.0,False,"484,MANUKAU STORE"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372092,True,site_name,2697500.0,6052000.0,2697500.0,6052000.0,True,"485,DUFF(ex MACDONALD)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372055,True,site_name,2697300.0,6052300.0,2697400.0,6052300.0,False,"486,MANUKAU BOWLING CLUB"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372061,True,site_name,2697200.0,6052700.0,2697100.0,6052700.0,False,"487,BEVAN WAIKAWA BEACH RD."
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372003,True,site_name,2696300.0,6053100.0,2696300.0,6053100.0,True,"488,BUCKLEY I   RD31 LEVIN"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372011,True,site_name,2697300.0,6053200.0,2697400.0,6053200.0,False,"489,SPILLER A F & M P  RD31 LEVIN"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),371005,True,site_name,2694500.0,6052000.0,2694600.0,6052000.0,False,"490,GARDNER."
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372071,True,site_name,2697300.0,6051900.0,2697200.0,6051900.0,False,"491,MANAKAU NURSERY"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372051,True,site_name,2697200.0,6051800.0,2697200.0,6051600.0,False,"492,HAMLIN  PRIVATE BAG  MANAKAU"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),363161,True,site_name,2705600.0,6063600.0,2705600.0,6063600.0,True,"493,STIVEN J T & L ROSLYN RD LEVIN"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),366001,True,site_name,2735300.0,6062400.0,2735300.0,6062400.0,True,"494,TELFORD (BLAND)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),312001,True,site_name,2703800.0,6110700.0,2703800.0,6110700.0,True,"495,FIELD"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),314025,True,site_name,2717600.0,6115500.0,2717600.0,6115500.0,True,"496,HOGG"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),792007,True,site_name,2700900.0,6134700.0,2700900.0,6134700.0,True,"497,TRAVERS"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),790065,True,site_name,2683500.0,6138800.0,2683500.0,6138800.0,True,"498,GONVILLE DOMAIN"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),339001,True,site_name,2764000.0,6092300.0,2764000.0,6092300.0,True,"499,KUMEROA SCHOOL"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),430005,True,site_name,2767600.0,6096300.0,2767600.0,6096300.0,True,"500,Heald"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),420075,True,site_name,2766400.0,6099800.0,2766400.0,6099800.0,True,"501,LOWE GRAHAM"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),338005,True,site_name,2753300.0,6088700.0,2753300.0,6088700.0,True,"502,SUISTED"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),334091,True,site_name,2720900.0,6089300.0,2720900.0,6089300.0,True,"503,PRATT M (easement MILNE)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),334001,True,site_name,2721600.0,6096400.0,2721600.0,6096400.0,True,"504,BEATTIE"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),316037,True,site_name,2733600.0,6110700.0,2733600.0,6110700.0,True,"505,BURREL"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),336114,True,site_name,2735700.0,6091700.0,2735700.0,6091700.0,True,"506,GIESON"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372060,True,site_name,2697500.0,6051900.0,2697500.0,6052000.0,False,"507,GRATTAN N & W(ex  INGHAM)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372063,True,site_name,2697400.0,6052800.0,2697000.0,6052000.0,False,"510,CHAPMAN D"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372015,True,site_name,2696900.0,6050500.0,2696800.0,6050700.0,False,"511,PAILTHORPE L"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372065,True,site_name,2697700.0,6053300.0,2697700.0,6053300.0,True,"512,BAYLEY"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372066,True,site_name,2697600.0,6053600.0,2697600.0,6053600.0,True,"513,MARAE"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372067,True,site_name,2697200.0,6051800.0,2697300.0,6051900.0,False,"514,SMITH"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372069,True,site_name,2697400.0,6052800.0,2697400.0,6052800.0,True,"515,HUGHES A G"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372075,True,source_name,2697300.0,6052100.0,2697300.0,6052100.0,True,"516,Gordon, M"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372076,True,site_name,2697500.0,6052900.0,2697500.0,6052900.0,True,"517,LEWIS A"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372080,True,site_name,2697300.0,6052900.0,2697300.0,6052900.0,True,"518,JENKINS V"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372062,True,site_name,2697200.0,6052900.0,2697200.0,6052900.0,True,"519,MACKIE J"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372064,True,site_name,2696300.0,6051900.0,2696300.0,6051900.0,True,"520,KAY P J"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372068,True,site_name,2697300.0,6052000.0,2697300.0,6052000.0,True,"521,DOYLE B"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372070,True,site_name,2697200.0,6051900.0,2697200.0,6051900.0,True,"522,SPILLER P"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372078,True,site_name,2697300.0,6052100.0,2697300.0,6052100.0,True,"523,BRADLEY K"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372079,True,substring of site_name,2696700.0,6051900.0,2696700.0,6051900.0,True,"524,MORETTO A G,No 1 372079"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372034,True,substring of site_name,2696500.0,6052000.0,2696500.0,6052000.0,True,"525,KAY P J,No 2 372034"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372081,True,substring of site_name,2697900.0,6053100.0,2697900.0,6053100.0,True,"526,MORETTO A G,No 3 372081"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372077,True,site_name,2697000.0,6052200.0,2697000.0,6052200.0,True,"527,SOLE J"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372047,True,site_name,2699500.0,6052100.0,2699500.0,6052100.0,True,"528,LONG CLYDE"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),361018,True,site_name,2694400.0,6054500.0,2694400.0,6054500.0,True,"529,McARLEY M"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372084,True,site_name,2697100.0,6052100.0,2697100.0,6052100.0,True,"530,ROBINSON D"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372013,True,site_name,2697800.0,6051900.0,2697800.0,6051900.0,True,"531,KEENAN JEFF"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372085,True,site_name,2697200.0,6052100.0,2697200.0,6052100.0,True,"532,MEACLEM L"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372086,True,source_name,2697461.0,6052215.0,2697400.0,6052200.0,False,"533,Fitzgerald M"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372087,True,site_name,2697200.0,6051800.0,2697200.0,6051800.0,True,"534,HANLON A L"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372053,True,site_name,2697200.0,6051000.0,2697200.0,6051500.0,False,"535,HAMMOND A S"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372088,True,site_name,2697300.0,6052000.0,2697300.0,6052000.0,True,"536,HODGE P J"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372072,True,site_name,2697600.0,6052100.0,2697700.0,6052100.0,False,"537,HORROBIN  W & HODGE"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372082,True,site_name,2697300.0,6052000.0,2697300.0,6052000.0,True,"538,BRINCK P"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372091,True,site_name,2697400.0,6052100.0,2697400.0,6052100.0,True,"540,MACIWNES"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372083,True,site_name,2698800.0,6053200.0,2698800.0,6053200.0,True,"541,DRAKE J H"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372089,True,site_name,2696900.0,6052900.0,2696900.0,6052900.0,True,"542,BIRCH E"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372005,True,source_name,2697300.0,6052100.0,2697400.0,6052100.0,False,"545,Hailwood, P & J"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372073,True,site_name,2697300.0,6051900.0,2697300.0,6051900.0,True,"549,LEADBEATER K J"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372094,True,site_name,2697000.0,6052300.0,2697000.0,6052300.0,True,"550,SURRIDGE J"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),371641,True,site_name,2694900.0,6053300.0,2695000.0,6053500.0,False,"551,CAMPBELL P J"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),371045,True,substring of site_name,2695000.0,6053500.0,2695000.0,6053100.0,False,"552,CAMPBELL P J,371045 (old bore)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),371046,True,site_name,2695300.0,6052800.0,2695400.0,6052900.0,False,"553,HENDERSON A"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372093,True,site_name,2696100.0,6051700.0,2696100.0,6051700.0,True,"555,COWIE C"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372095,True,site_name,2697500.0,6052100.0,2697500.0,6052100.0,True,"556,GRIFFITHS A R"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372020,True,site_name,2696300.0,6052400.0,2696900.0,6052200.0,False,"557,SOO C"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372009,True,substring of site_name,2696300.0,6052400.0,2696300.0,6052400.0,True,"558,SOO C,372009 (IRRIGATION BORE)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),336671,True,site_name,2734200.0,6087400.0,2734200.0,6087400.0,True,"559,PACIFIC INT. COLLEGE"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372101,True,site_name,2696600.0,6050800.0,2696800.0,6050800.0,False,"560,SUMMERS"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372097,True,site_name,2697300.0,6052200.0,2697300.0,6052200.0,True,"569,MANUKAU HOTEL"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372098,True,site_name,2697300.0,6052100.0,2697300.0,6052100.0,True,"570,McCOWN"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372008,True,site_name,2697700.0,6051800.0,2697600.0,6051800.0,False,"571,MILES(Ex Hanlin)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),337025,True,site_name,2739700.0,6091000.0,2739700.0,6091000.0,True,"575,MacFARLANE"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),334141,True,site_name,2720400.0,6088400.0,2720400.0,6088400.0,True,"576,BARNES"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),327121,True,site_name,2741900.0,6101000.0,2741900.0,6100900.0,False,"577,FAIRLESS (SHALLOW)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),327111,True,site_name,2741900.0,6100900.0,2741900.0,6101000.0,False,"578,FAIRLESS (DEEP)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),326131,True,site_name,2734800.0,6105100.0,2734800.0,6105100.0,True,"579,THURSTON"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),327191,True,site_name,2747000.0,6105000.0,2747200.0,6105000.0,False,"580,TITHER W"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),327005,True,site_name,2746100.0,6105500.0,2746100.0,6105500.0,True,"581,EDWARDS"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),336201,True,site_name,2731400.0,6092500.0,2731400.0,6092500.0,True,"582,QUEEN ELIZABETH COLLEGE"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372099,True,site_name,2697200.0,6052000.0,2697200.0,6052000.0,True,"583,WEBB"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372096,True,site_name,2697400.0,6052200.0,2697400.0,6052200.0,True,"584,FERTILIZER WORKS"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372052,True,site_name,2696900.0,6051400.0,2696900.0,6051400.0,True,"588,WILLOW LODGE"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),362791,True,source_name,2700600.0,6058600.0,2700600.0,6058600.0,True,"589,Butler, R J"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),362006,True,site_name,2700600.0,6058900.0,2700600.0,6058900.0,True,"590,HIGHFIELD GARDENS"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),362106,True,site_name,2700700.0,6058800.0,2700700.0,6058800.0,True,"591,ELLIOT K J"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),362036,True,site_name,2700300.0,6058700.0,2700300.0,6058700.0,True,"592,AHERN D L & H M"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),362901,True,source_name,2700161.0,6058810.0,2700200.0,6058700.0,False,"593,Wood S"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),363291,True,site_name,2705600.0,6061300.0,2705600.0,6061300.0,True,"594,ALLEN D"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),362049,True,site_name,2703500.0,6061000.0,2703500.0,6061000.0,True,"595,HOROWHENUA HOSPITAL   LEVIN"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),362093,True,site_name,2698900.0,6054800.0,2698900.0,6054800.0,True,"596,BROWN J H"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),362333,True,site_name,2701000.0,6058800.0,2701000.0,6058800.0,True,"597,DONOVAN K J"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),362411,True,site_name,2703600.0,6065400.0,2703600.0,6056400.0,False,"598,JOOSTENS M"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),362226,True,site_name,2702700.0,6057500.0,2702700.0,6057500.0,True,"599,ROBINSON A & S M (Shallow)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),362051,True,site_name,2702700.0,6057500.0,2702700.0,6057500.0,True,"600,ROBINSON A & S M (Deep)"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372041,True,site_name,2698000.0,6053700.0,2698000.0,6053700.0,True,"601,GORDON R"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),362341,True,site_name,2701100.0,6058700.0,2701100.0,6058700.0,True,"602,AITKEN R & J"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),353067,True,site_name,2705300.0,6068400.0,2705300.0,6068100.0,False,"603,WEBB P"
GW Qual data from Qualarc-ALL bore IDs - Oct 2012 (CAUTION no__),372044,True,site_name,2696700.0,6051800.0,2696700.0,6051800.0,True,"604,MORETTO  A (2.5')"
